Swedish,English,Category,Example,Article
öga,eye,body,Min öga gör ont idag.,ett
öra,ear,body,Min öra gör ont idag.,ett
näsa,nose,body,Min näsa gör ont idag.,en
mun,mouth,body,Min mun gör ont idag.,en
tand,tooth,body,Min tand gör ont idag.,en
tunga,tongue,body,Min tunga gör ont idag.,en
läpp,lip,body,Min läpp gör ont idag.,en
kind,cheek,body,Min kind gör ont idag.,en
hals,neck,body,Min hals gör ont idag.,en
axel,shoulder,body,Min axel gör ont idag.,en
arm,arm,body,Min arm gör ont idag.,en
armbåge,elbow,body,Min armbåge gör ont idag.,en
handled,wrist,body,Min handled gör ont idag.,en
hand,hand,body,Min hand gör ont idag.,en
finger,finger,body,Min finger gör ont idag.,ett
tumme,thumb,body,Min tumme gör ont idag.,en
nagel,nail,body,Min nagel gör ont idag.,en
bröst,chest,body,Min bröst gör ont idag.,ett
mage,stomach,body,Min mage gör ont idag.,en
rygg,back,body,Min rygg gör ont idag.,en
midja,waist,body,Min midja gör ont idag.,en
höft,hip,body,Min höft gör ont idag.,en
ben,leg,body,Min ben gör ont idag.,ett
lår,thigh,body,Min lår gör ont idag.,ett
knä,knee,body,Min knä gör ont idag.,ett
vad,calf,body,Min vad gör ont idag.,en
fot,foot,body,Min fot gör ont idag.,en
tå,toe,body,Min tå gör ont idag.,en
hud,skin,body,Min hud gör ont idag.,en
blod,blood,body,Min blod gör ont idag.,ett
hjärta,heart,body,Min hjärta gör ont idag.,ett
lunga,lung,body,Min lunga gör ont idag.,en
lever,liver,body,Min lever gör ont idag.,en
hjärna,brain,body,Min hjärna gör ont idag.,en
muskel,muscle,body,Min muskel gör ont idag.,en
skelett,skeleton,body,Min skelett gör ont idag.,ett
led,joint,body,Min led gör ont idag.,en
sjukhus,hospital,health,sjukhus är viktigt för god hälsa.,ett
apotek,pharmacy,health,apotek är viktigt för god hälsa.,ett
medicin,medicine,health,medicin är viktigt för god hälsa.,en
tablett,tablet,health,tablett är viktigt för god hälsa.,en
recept,prescription,health,recept är viktigt för god hälsa.,ett
allergi,allergy,health,allergi är viktigt för god hälsa.,en
feber,fever,health,feber är viktigt för god hälsa.,en
förkylning,cold,health,förkylning är viktigt för god hälsa.,en
influensa,flu,health,influensa är viktigt för god hälsa.,en
huvudvärk,headache,health,huvudvärk är viktigt för god hälsa.,en
ont,pain,health,ont är viktigt för god hälsa.,ett
sår,wound,health,sår är viktigt för god hälsa.,ett
operation,surgery,health,operation är viktigt för god hälsa.,en
vaccin,vaccine,health,vaccin är viktigt för god hälsa.,ett
hälsa,health,health,hälsa är viktigt för god hälsa.,en
blodtryck,blood pressure,health,blodtryck är viktigt för god hälsa.,ett
kost,diet,health,kost är viktigt för god hälsa.,en
näring,nutrition,health,näring är viktigt för god hälsa.,en
vitamin,vitamin,health,vitamin är viktigt för god hälsa.,ett
mineral,mineral,health,mineral är viktigt för god hälsa.,ett
tröja,sweater,clothing,Hon hade en fin tröja på sig.,en
skjorta,shirt,clothing,Hon hade en fin skjorta på sig.,en
byxa,trousers,clothing,Hon hade en fin byxa på sig.,en
kjol,skirt,clothing,Hon hade en fin kjol på sig.,en
klänning,dress,clothing,Hon hade en fin klänning på sig.,en
jacka,jacket,clothing,Hon hade en fin jacka på sig.,en
kappa,coat,clothing,Hon hade en fin kappa på sig.,en
skor,shoes,clothing,Hon hade en fin skor på sig.,en
stövlar,boots,clothing,Hon hade en fin stövlar på sig.,en
sandaler,sandals,clothing,Hon hade en fin sandaler på sig.,en
strumpor,socks,clothing,Hon hade en fin strumpor på sig.,en
underkläder,underwear,clothing,Hon hade en fin underkläder på sig.,ett
mössa,beanie,clothing,Hon hade en fin mössa på sig.,en
hatt,hat,clothing,Hon hade en fin hatt på sig.,en
halsduk,scarf,clothing,Hon hade en fin halsduk på sig.,en
handskar,gloves,clothing,Hon hade en fin handskar på sig.,en
bälte,belt,clothing,Hon hade en fin bälte på sig.,ett
plånbok,wallet,clothing,Hon hade en fin plånbok på sig.,en
väska,bag,clothing,Hon hade en fin väska på sig.,en
ryggsäck,backpack,clothing,Hon hade en fin ryggsäck på sig.,en
glasögon,glasses,clothing,Hon hade en fin glasögon på sig.,ett
ring,ring,clothing,Hon hade en fin ring på sig.,en
halsband,necklace,clothing,Hon hade en fin halsband på sig.,ett
armband,bracelet,clothing,Hon hade en fin armband på sig.,ett
klocka,watch,clothing,Hon hade en fin klocka på sig.,en
hus,house,home,Vi renoverar hus hemma.,ett
lägenhet,apartment,home,Vi renoverar lägenhet hemma.,en
rum,room,home,Vi renoverar rum hemma.,ett
kök,kitchen,home,Vi renoverar kök hemma.,ett
vardagsrum,living room,home,Vi renoverar vardagsrum hemma.,ett
sovrum,bedroom,home,Vi renoverar sovrum hemma.,ett
badrum,bathroom,home,Vi renoverar badrum hemma.,ett
toalett,toilet,home,Vi renoverar toalett hemma.,en
hall,hallway,home,Vi renoverar hall hemma.,en
balkong,balcony,home,Vi renoverar balkong hemma.,en
trädgård,garden,home,Vi renoverar trädgård hemma.,en
källare,basement,home,Vi renoverar källare hemma.,en
vind,attic,home,Vi renoverar vind hemma.,en
garage,garage,home,Vi renoverar garage hemma.,ett
dörr,door,home,Vi renoverar dörr hemma.,en
fönster,window,home,Vi renoverar fönster hemma.,ett
golv,floor,home,Vi renoverar golv hemma.,ett
tak,ceiling,home,Vi renoverar tak hemma.,ett
vägg,wall,home,Vi renoverar vägg hemma.,en
trappa,stairs,home,Vi renoverar trappa hemma.,en
soffa,sofa,furniture,Det finns en soffa i vardagsrummet.,en
stol,chair,furniture,Det finns en stol i vardagsrummet.,en
bord,table,furniture,Det finns en bord i vardagsrummet.,ett
säng,bed,furniture,Det finns en säng i vardagsrummet.,en
skrivbord,desk,furniture,Det finns en skrivbord i vardagsrummet.,ett
bokhylla,bookshelf,furniture,Det finns en bokhylla i vardagsrummet.,en
garderob,wardrobe,furniture,Det finns en garderob i vardagsrummet.,en
byrå,chest of drawers,furniture,Det finns en byrå i vardagsrummet.,en
matta,rug,furniture,Det finns en matta i vardagsrummet.,en
lampa,lamp,furniture,Det finns en lampa i vardagsrummet.,en
spegel,mirror,furniture,Det finns en spegel i vardagsrummet.,en
badkar,bathtub,furniture,Det finns en badkar i vardagsrummet.,ett
diskmaskin,dishwasher,furniture,Det finns en diskmaskin i vardagsrummet.,en
tvättmaskin,washing machine,furniture,Det finns en tvättmaskin i vardagsrummet.,en
torktumlare,dryer,furniture,Det finns en torktumlare i vardagsrummet.,en
kylskåp,refrigerator,furniture,Det finns en kylskåp i vardagsrummet.,ett
frys,freezer,furniture,Det finns en frys i vardagsrummet.,en
spis,stove,furniture,Det finns en spis i vardagsrummet.,en
ugn,oven,furniture,Det finns en ugn i vardagsrummet.,en
mikrovågsugn,microwave,furniture,Det finns en mikrovågsugn i vardagsrummet.,en
mamma,mom,family,Min mamma bor i Stockholm.,en
pappa,dad,family,Min pappa bor i Stockholm.,en
mor,mother,family,Min mor bor i Stockholm.,en
far,father,family,Min far bor i Stockholm.,en
barn,child,family,Min barn bor i Stockholm.,ett
son,son,family,Min son bor i Stockholm.,en
dotter,daughter,family,Min dotter bor i Stockholm.,en
bror,brother,family,Min bror bor i Stockholm.,en
syster,sister,family,Min syster bor i Stockholm.,en
farfar,paternal grandfather,family,Min farfar bor i Stockholm.,en
farmor,paternal grandmother,family,Min farmor bor i Stockholm.,en
morfar,maternal grandfather,family,Min morfar bor i Stockholm.,en
mormor,maternal grandmother,family,Min mormor bor i Stockholm.,en
farbror,uncle (father's side),family,Min farbror bor i Stockholm.,en
faster,aunt (father's side),family,Min faster bor i Stockholm.,en
morbror,uncle (mother's side),family,Min morbror bor i Stockholm.,en
moster,aunt (mother's side),family,Min moster bor i Stockholm.,en
kusin,cousin,family,Min kusin bor i Stockholm.,en
make,husband,family,Min make bor i Stockholm.,en
fru,wife,family,Min fru bor i Stockholm.,en
sambo,live-in partner,family,Min sambo bor i Stockholm.,en
pojke,boy,family,Min pojke bor i Stockholm.,en
flicka,girl,family,Min flicka bor i Stockholm.,en
bebis,baby,family,Min bebis bor i Stockholm.,en
tonåring,teenager,family,Min tonåring bor i Stockholm.,en
vuxen,adult,family,Min vuxen bor i Stockholm.,en
äldre,elderly person,family,Min äldre bor i Stockholm.,en
släkt,relatives,family,Min släkt bor i Stockholm.,en
syskon,siblings,family,Min syskon bor i Stockholm.,ett
tvillingar,twins,family,Min tvillingar bor i Stockholm.,en
hund,dog,animals,En hund lever ute i naturen.,en
katt,cat,animals,En katt lever ute i naturen.,en
häst,horse,animals,En häst lever ute i naturen.,en
ko,cow,animals,En ko lever ute i naturen.,en
gris,pig,animals,En gris lever ute i naturen.,en
får,sheep,animals,En får lever ute i naturen.,ett
get,goat,animals,En get lever ute i naturen.,en
höna,hen,animals,En höna lever ute i naturen.,en
kanin,rabbit,animals,En kanin lever ute i naturen.,en
mus,mouse,animals,En mus lever ute i naturen.,en
råtta,rat,animals,En råtta lever ute i naturen.,en
hamster,hamster,animals,En hamster lever ute i naturen.,en
papegoja,parrot,animals,En papegoja lever ute i naturen.,en
fågel,bird,animals,En fågel lever ute i naturen.,en
örn,eagle,animals,En örn lever ute i naturen.,en
uggla,owl,animals,En uggla lever ute i naturen.,en
pingvin,penguin,animals,En pingvin lever ute i naturen.,en
lejon,lion,animals,En lejon lever ute i naturen.,ett
tiger,tiger,animals,En tiger lever ute i naturen.,en
elefant,elephant,animals,En elefant lever ute i naturen.,en
giraff,giraffe,animals,En giraff lever ute i naturen.,en
björn,bear,animals,En björn lever ute i naturen.,en
varg,wolf,animals,En varg lever ute i naturen.,en
räv,fox,animals,En räv lever ute i naturen.,en
hjort,deer,animals,En hjort lever ute i naturen.,en
älg,moose,animals,En älg lever ute i naturen.,en
apa,monkey,animals,En apa lever ute i naturen.,en
gorilla,gorilla,animals,En gorilla lever ute i naturen.,en
krokodil,crocodile,animals,En krokodil lever ute i naturen.,en
orm,snake,animals,En orm lever ute i naturen.,en
ödla,lizard,animals,En ödla lever ute i naturen.,en
groda,frog,animals,En groda lever ute i naturen.,en
sköldpadda,turtle,animals,En sköldpadda lever ute i naturen.,en
haj,shark,animals,En haj lever ute i naturen.,en
delfin,dolphin,animals,En delfin lever ute i naturen.,en
val,whale,animals,En val lever ute i naturen.,en
bläckfisk,octopus,animals,En bläckfisk lever ute i naturen.,en
bi,bee,animals,En bi lever ute i naturen.,ett
fjäril,butterfly,animals,En fjäril lever ute i naturen.,en
myra,ant,animals,En myra lever ute i naturen.,en
fluga,fly,animals,En fluga lever ute i naturen.,en
mygga,mosquito,animals,En mygga lever ute i naturen.,en
spindel,spider,animals,En spindel lever ute i naturen.,en
mask,worm,animals,En mask lever ute i naturen.,en
lama,llama,animals,En lama lever ute i naturen.,en
flamingo,flamingo,animals,En flamingo lever ute i naturen.,en
skog,forest,nature,En skog syns ute i naturen.,en
träd,tree,nature,En träd syns ute i naturen.,ett
blomma,flower,nature,En blomma syns ute i naturen.,en
gräs,grass,nature,En gräs syns ute i naturen.,ett
berg,mountain,nature,En berg syns ute i naturen.,ett
dal,valley,nature,En dal syns ute i naturen.,en
flod,river,nature,En flod syns ute i naturen.,en
sjö,lake,nature,En sjö syns ute i naturen.,en
hav,sea,nature,En hav syns ute i naturen.,ett
strand,beach,nature,En strand syns ute i naturen.,en
ö,island,nature,En ö syns ute i naturen.,en
halvö,peninsula,nature,En halvö syns ute i naturen.,en
klippa,cliff,nature,En klippa syns ute i naturen.,en
sten,stone,nature,En sten syns ute i naturen.,en
sand,sand,nature,En sand syns ute i naturen.,en
jord,soil,nature,En jord syns ute i naturen.,en
buske,bush,nature,En buske syns ute i naturen.,en
löv,leaf,nature,En löv syns ute i naturen.,ett
rot,root,nature,En rot syns ute i naturen.,en
gren,branch,nature,En gren syns ute i naturen.,en
frö,seed,nature,En frö syns ute i naturen.,ett
mossa,moss,nature,En mossa syns ute i naturen.,en
ormbunke,fern,nature,En ormbunke syns ute i naturen.,en
näckros,water lily,nature,En näckros syns ute i naturen.,en
kotte,pine cone,nature,En kotte syns ute i naturen.,en
älv,large river,nature,En älv syns ute i naturen.,en
bäck,stream,nature,En bäck syns ute i naturen.,en
vattenfall,waterfall,nature,En vattenfall syns ute i naturen.,ett
grotta,cave,nature,En grotta syns ute i naturen.,en
öken,desert,nature,En öken syns ute i naturen.,en
vulkan,volcano,nature,En vulkan syns ute i naturen.,en
sol,sun,weather,Det är sol ute idag.,en
regn,rain,weather,Det är regn ute idag.,ett
snö,snow,weather,Det är snö ute idag.,en
vind,wind,weather,Det är vind ute idag.,en
storm,storm,weather,Det är storm ute idag.,en
åska,thunder,weather,Det är åska ute idag.,en
blixt,lightning,weather,Det är blixt ute idag.,en
dimma,fog,weather,Det är dimma ute idag.,en
moln,cloud,weather,Det är moln ute idag.,ett
hagel,hail,weather,Det är hagel ute idag.,ett
frost,frost,weather,Det är frost ute idag.,en
is,ice,weather,Det är is ute idag.,en
regnbåge,rainbow,weather,Det är regnbåge ute idag.,en
tornado,tornado,weather,Det är tornado ute idag.,en
orkan,hurricane,weather,Det är orkan ute idag.,en
skyfall,downpour,weather,Det är skyfall ute idag.,ett
temperatur,temperature,weather,Det är temperatur ute idag.,en
termometer,thermometer,weather,Det är termometer ute idag.,en
barometer,barometer,weather,Det är barometer ute idag.,en
prognos,forecast,weather,Det är prognos ute idag.,en
sekund,second,time,Mötet varar i en sekund.,en
minut,minute,time,Mötet varar i en minut.,en
timme,hour,time,Mötet varar i en timme.,en
dag,day,time,Mötet varar i en dag.,en
vecka,week,time,Mötet varar i en vecka.,en
månad,month,time,Mötet varar i en månad.,en
år,year,time,Mötet varar i en år.,ett
decennium,decade,time,Mötet varar i en decennium.,ett
århundrade,century,time,Mötet varar i en århundrade.,ett
morgon,morning,time,Mötet varar i en morgon.,en
förmiddag,late morning,time,Mötet varar i en förmiddag.,en
middag,noon,time,Mötet varar i en middag.,en
eftermiddag,afternoon,time,Mötet varar i en eftermiddag.,en
kväll,evening,time,Mötet varar i en kväll.,en
natt,night,time,Mötet varar i en natt.,en
midnatt,midnight,time,Mötet varar i en midnatt.,en
måndag,Monday,time,Mötet varar i en måndag.,en
tisdag,Tuesday,time,Mötet varar i en tisdag.,en
onsdag,Wednesday,time,Mötet varar i en onsdag.,en
torsdag,Thursday,time,Mötet varar i en torsdag.,en
fredag,Friday,time,Mötet varar i en fredag.,en
lördag,Saturday,time,Mötet varar i en lördag.,en
söndag,Sunday,time,Mötet varar i en söndag.,en
januari,January,time,Mötet varar i en januari.,en
februari,February,time,Mötet varar i en februari.,en
mars,March,time,Mötet varar i en mars.,en
april,April,time,Mötet varar i en april.,en
maj,May,time,Mötet varar i en maj.,en
juni,June,time,Mötet varar i en juni.,en
juli,July,time,Mötet varar i en juli.,en
augusti,August,time,Mötet varar i en augusti.,en
september,September,time,Mötet varar i en september.,en
oktober,October,time,Mötet varar i en oktober.,en
november,November,time,Mötet varar i en november.,en
december,December,time,Mötet varar i en december.,en
vår,spring,time,Mötet varar i en vår.,en
sommar,summer,time,Mötet varar i en sommar.,en
höst,autumn,time,Mötet varar i en höst.,en
vinter,winter,time,Mötet varar i en vinter.,en
kalender,calendar,time,Mötet varar i en kalender.,en
helg,weekend,time,Mötet varar i en helg.,en
vardag,weekday,time,Mötet varar i en vardag.,en
framtid,future,time,Mötet varar i en framtid.,en
nutid,present,time,Mötet varar i en nutid.,en
dåtid,past,time,Mötet varar i en dåtid.,en
årstid,season,time,Mötet varar i en årstid.,en
tidszon,time zone,time,Mötet varar i en tidszon.,en
röd,red,colors,Min favoritfärg är röd.,—
blå,blue,colors,Min favoritfärg är blå.,—
grön,green,colors,Min favoritfärg är grön.,—
gul,yellow,colors,Min favoritfärg är gul.,—
orange,orange,colors,Min favoritfärg är orange.,—
lila,purple,colors,Min favoritfärg är lila.,—
rosa,pink,colors,Min favoritfärg är rosa.,—
brun,brown,colors,Min favoritfärg är brun.,—
svart,black,colors,Min favoritfärg är svart.,—
vit,white,colors,Min favoritfärg är vit.,—
grå,gray,colors,Min favoritfärg är grå.,—
beige,beige,colors,Min favoritfärg är beige.,—
turkos,turquoise,colors,Min favoritfärg är turkos.,—
guld,gold,colors,Min favoritfärg är guld.,ett
silver,silver,colors,Min favoritfärg är silver.,ett
jobb,job,work,Det är viktigt att trivas på sin jobb.,ett
karriär,career,work,Det är viktigt att trivas på sin karriär.,en
chef,boss,work,Det är viktigt att trivas på sin chef.,en
kollega,colleague,work,Det är viktigt att trivas på sin kollega.,en
anställd,employee,work,Det är viktigt att trivas på sin anställd.,en
arbetsgivare,employer,work,Det är viktigt att trivas på sin arbetsgivare.,en
möte,meeting,work,Det är viktigt att trivas på sin möte.,ett
kontor,office,work,Det är viktigt att trivas på sin kontor.,ett
fabrik,factory,work,Det är viktigt att trivas på sin fabrik.,en
företag,company,work,Det är viktigt att trivas på sin företag.,ett
projekt,project,work,Det är viktigt att trivas på sin projekt.,ett
uppgift,task,work,Det är viktigt att trivas på sin uppgift.,en
lön,salary,work,Det är viktigt att trivas på sin lön.,en
skatt,tax,work,Det är viktigt att trivas på sin skatt.,en
faktura,invoice,work,Det är viktigt att trivas på sin faktura.,en
kontrakt,contract,work,Det är viktigt att trivas på sin kontrakt.,ett
rapport,report,work,Det är viktigt att trivas på sin rapport.,en
presentation,presentation,work,Det är viktigt att trivas på sin presentation.,en
intervju,interview,work,Det är viktigt att trivas på sin intervju.,en
ansökan,application,work,Det är viktigt att trivas på sin ansökan.,en
erfarenhet,experience,work,Det är viktigt att trivas på sin erfarenhet.,en
kompetens,competence,work,Det är viktigt att trivas på sin kompetens.,en
ansvar,responsibility,work,Det är viktigt att trivas på sin ansvar.,ett
deadline,deadline,work,Det är viktigt att trivas på sin deadline.,en
sjukskrivning,sick leave,work,Det är viktigt att trivas på sin sjukskrivning.,en
övertid,overtime,work,Det är viktigt att trivas på sin övertid.,en
pension,pension,work,Det är viktigt att trivas på sin pension.,en
fackförening,trade union,work,Det är viktigt att trivas på sin fackförening.,en
chefskap,management,work,Det är viktigt att trivas på sin chefskap.,ett
arbetsmarknad,labor market,work,Det är viktigt att trivas på sin arbetsmarknad.,en
läkare,doctor,profession,Han jobbar som läkare på sjukhuset.,en
sjuksköterska,nurse,profession,Han jobbar som sjuksköterska på sjukhuset.,en
ingenjör,engineer,profession,Han jobbar som ingenjör på sjukhuset.,en
advokat,lawyer,profession,Han jobbar som advokat på sjukhuset.,en
arkitekt,architect,profession,Han jobbar som arkitekt på sjukhuset.,en
konstnär,artist,profession,Han jobbar som konstnär på sjukhuset.,en
musiker,musician,profession,Han jobbar som musiker på sjukhuset.,en
skådespelare,actor,profession,Han jobbar som skådespelare på sjukhuset.,en
författare,author,profession,Han jobbar som författare på sjukhuset.,en
journalist,journalist,profession,Han jobbar som journalist på sjukhuset.,en
fotograf,photographer,profession,Han jobbar som fotograf på sjukhuset.,en
kock,chef,profession,Han jobbar som kock på sjukhuset.,en
bagare,baker,profession,Han jobbar som bagare på sjukhuset.,en
frisör,hairdresser,profession,Han jobbar som frisör på sjukhuset.,en
elektriker,electrician,profession,Han jobbar som elektriker på sjukhuset.,en
rörmokare,plumber,profession,Han jobbar som rörmokare på sjukhuset.,en
snickare,carpenter,profession,Han jobbar som snickare på sjukhuset.,en
mekaniker,mechanic,profession,Han jobbar som mekaniker på sjukhuset.,en
pilot,pilot,profession,Han jobbar som pilot på sjukhuset.,en
polis,police officer,profession,Han jobbar som polis på sjukhuset.,en
brandman,firefighter,profession,Han jobbar som brandman på sjukhuset.,en
psykolog,psychologist,profession,Han jobbar som psykolog på sjukhuset.,en
vetenskapsman,scientist,profession,Han jobbar som vetenskapsman på sjukhuset.,en
programmerare,programmer,profession,Han jobbar som programmerare på sjukhuset.,en
designer,designer,profession,Han jobbar som designer på sjukhuset.,en
tandläkare,dentist,profession,Han jobbar som tandläkare på sjukhuset.,en
veterinär,veterinarian,profession,Han jobbar som veterinär på sjukhuset.,en
apotekare,pharmacist,profession,Han jobbar som apotekare på sjukhuset.,en
sekreterare,secretary,profession,Han jobbar som sekreterare på sjukhuset.,en
direktör,director,profession,Han jobbar som direktör på sjukhuset.,en
skola,school,school,Imorgon har jag prov i skola.,en
klassrum,classroom,school,Imorgon har jag prov i klassrum.,ett
elev,student,school,Imorgon har jag prov i elev.,en
bok,book,school,Imorgon har jag prov i bok.,en
penna,pen,school,Imorgon har jag prov i penna.,en
papper,paper,school,Imorgon har jag prov i papper.,ett
anteckningsbok,notebook,school,Imorgon har jag prov i anteckningsbok.,en
läxa,homework,school,Imorgon har jag prov i läxa.,en
prov,test,school,Imorgon har jag prov i prov.,ett
betyg,grade,school,Imorgon har jag prov i betyg.,ett
lektion,lesson,school,Imorgon har jag prov i lektion.,en
schema,schedule,school,Imorgon har jag prov i schema.,ett
rast,break,school,Imorgon har jag prov i rast.,en
bibliotek,library,school,Imorgon har jag prov i bibliotek.,ett
gymnasium,high school,school,Imorgon har jag prov i gymnasium.,ett
universitet,university,school,Imorgon har jag prov i universitet.,ett
kurs,course,school,Imorgon har jag prov i kurs.,en
examen,exam,school,Imorgon har jag prov i examen.,en
matematik,mathematics,school,Imorgon har jag prov i matematik.,en
svenska,Swedish language,school,Imorgon har jag prov i svenska.,en
engelska,English language,school,Imorgon har jag prov i engelska.,en
historia,history,school,Imorgon har jag prov i historia.,en
geografi,geography,school,Imorgon har jag prov i geografi.,en
biologi,biology,school,Imorgon har jag prov i biologi.,en
kemi,chemistry,school,Imorgon har jag prov i kemi.,en
fysik,physics,school,Imorgon har jag prov i fysik.,en
idrott,physical education,school,Imorgon har jag prov i idrott.,en
stipendium,scholarship,school,Imorgon har jag prov i stipendium.,ett
föreläsning,lecture,school,Imorgon har jag prov i föreläsning.,en
uppsats,essay,school,Imorgon har jag prov i uppsats.,en
fotboll,football,sports,Vi spelar fotboll på lördagarna.,en
basket,basketball,sports,Vi spelar basket på lördagarna.,en
tennis,tennis,sports,Vi spelar tennis på lördagarna.,en
simning,swimming,sports,Vi spelar simning på lördagarna.,en
cykling,cycling,sports,Vi spelar cykling på lördagarna.,en
löpning,running,sports,Vi spelar löpning på lördagarna.,en
skidåkning,skiing,sports,Vi spelar skidåkning på lördagarna.,en
ishockey,ice hockey,sports,Vi spelar ishockey på lördagarna.,en
golf,golf,sports,Vi spelar golf på lördagarna.,en
boxning,boxing,sports,Vi spelar boxning på lördagarna.,en
kampsport,martial arts,sports,Vi spelar kampsport på lördagarna.,en
