Imperativ,Infinitiv,Presens,Preteritum,Supinum,Engelsk översättning,Acceptable answers,Attempts,Correct,Example
vänta,vänta,väntar,väntade,väntat,wait,wait|to wait,0,0,Han väntar på tåget vid perrongen.
arbeta,arbeta,arbetar,arbetade,arbetat,work,work|to work,0,0,Hon arbetar på ett stort företag i stan.
skicka,skicka,skickar,skickade,skickat,send,send|to send,0,0,Han skickar ett paket till sin familj.
vänd,vända,vänder,vände,vänt,turn,turn|to turn,0,0,Hon vänder sig om när hon hör sitt namn.
kasta,kasta,kastar,kastade,kastat,throw,throw|to throw,0,0,Han kastar bollen till sin kompis.
titta,titta,tittar,tittade,tittat,look,look|to look,0,0,Hon tittar på sin favoritserie varje kväll.
klara,klara,klarar,klarade,klarat,manage,manage|to manage,0,0,Han klarar av svåra uppgifter på jobbet.
rör,röra,rör,rörde,rört,move,move|to move,0,0,Han rör soppan tills den är varm.
bär,bära,bär,bar,burit,carry,carry|to carry,0,0,Han bär tung utrustning på vandringen.
välj,välja,väljer,valde,valt,choose,choose|to choose,0,0,Hon väljer alltid den friskaste maten i butiken.
väx,växa,växer,växte,vuxit,grow,grow|to grow,0,0,Barnet växer väldigt fort i år.
skapa,skapa,skapar,skapade,skapat,create,create|to create,0,0,Konstnären skapar ett nytt konstverk varje vecka.
förstå,förstå,förstår,förstod,förstått,understand,understand|to understand,0,0,Jag förstår inte vad han menar.
erbjud,erbjuda,erbjuder,erbjöd,erbjudit,offer,offer|to offer,0,0,Företaget erbjuder bra lön och förmåner.
bjud,bjuda,bjuder,bjöd,bjudit,offer for free,offer for free|to offer for free,0,0,Han bjuder alltid sina vänner på middag.
räkna,räkna,räknar,räknade,räknat,count,count|to count,0,0,Barnet räknar till hundra.
leta,leta,letar,letade,letat,look for,look for|to look for,0,0,Hon letar efter sin förlorade katt.
nå,nå,når,nådde,nått,reach,reach|to reach,0,0,Han når sin dröm efter många år.
passa,passa,passar,passade,passat,fit,fit|to fit,0,0,Den blå klänningen passar perfekt till festen.
utveckla,utveckla,utvecklar,utvecklade,utvecklat,develop,develop|to develop,0,0,Företaget utvecklar ny teknik.
föreslå,föreslå,föreslår,föreslog,föreslagit,suggest,suggest|to suggest,0,0,Han föreslår en ny lösning på problemet.
sakna,sakna,saknar,saknade,saknat,miss / lack,miss|to miss|lack|to lack,0,0,Jag saknar min familj när jag reser bort.
jämför,jämföra,jämför,jämförde,jämfört,compare,compare|to compare,0,0,Hon jämför priserna på olika webbplatser.
räck,räcka,räcker,räckte,räckt,be enough,be enough|to be enough,0,0,Det räcker med en kopp kaffe för att vakna.
bruka,bruka,brukar,brukade,brukat,usually do,usually do|to usually do,0,0,Jag brukar gå till gym på morgnarna.
ligg,ligga,ligger,låg,legat,lie / be located,lie|to lie|be located|to be located,0,0,Boken ligger på bordet.
lägg,lägga,lägger,la,lagt,lay / put,lay|to lay|put|to put,1,0,Han lägger böckerna på hyllan.
le,le,ler,log,lett,smile / laugh,smile|to smile|laugh|to laugh,0,0,Hon ler alltid mot sina grannar.
åk,åka,åker,åkte,åkt,go / travel,go|to go|travel|to travel,0,0,Vi åker tåg till Göteborg imorgon.
kosta,kosta,kostar,kostade,kostat,cost,cost|to cost,0,0,Den nya telefonen kostar mycket pengar.
besök,besöka,besöker,besökte,besökt,visit,visit|to visit,0,0,Vi besöker mormor varje jul.
somna,somna,somnar,somnade,somnat,fall asleep,fall asleep|to fall asleep,0,0,Barnet somnar genast när vi sätter på musik.
googla,googla,googlar,googlade,googlat,google / search online,google|to google|search online|to search online,0,0,Hon googlar svaret på frågan direkt.
swisha,swisha,swishar,swishade,swishat,pay with Swish,pay with Swish|to pay with Swish,0,0,Han swishar pengarna direkt till sin vän.
–,vilja,vill,ville,velat,want,want|to want,1,1,Jag vill lära mig svenska flytande.
–,måste,måste,var tvungen att,varit tvungen att,must / have to,must|to must|have to|to have to,0,0,Hon måste arbeta extra i helgen.
–,–,bör,borde,bort,ought to / should,ought to|to ought to|should|to should,0,0,Du bör komma i tid till mötet.
stå,stå,står,stod,stått,stand,stand|to stand,0,0,Han står utanför dörren och väntar.
behöv,behöva,behöver,behövde,behövt,need,need|to need,0,0,Du behöver inte oroa dig för det.
lyssna,lyssna,lyssnar,lyssnade,lyssnat,listen,listen|to listen,1,1,Han lyssnar på musik när han joggar.
jobba,jobba,jobbar,jobbade,jobbat,work,work|to work,0,0,Hon jobbar hemifrån på fredagarna.
dö,dö,dör,dog,dött,die,die|to die,0,0,Blommorna dör om man glömmer att vattna dem.
hoppas,hoppas,hoppas,hoppades,hoppats,hope,hope|to hope,0,0,Jag hoppas att vi vinner matchen.
minns,minnas,minns,mindes,mints,remember,remember|to remember,0,0,Jag minns fortfarande den dagen väldigt tydligt.
lär (sig),lära (sig),lär (sig),lärde (sig),lärt (sig),learn / teach,learn|to learn|teach|to teach,0,0,Hon lär sig ett nytt recept varje vecka.
flytta,flytta,flyttar,flyttade,flyttat,move,move|to move,0,0,De flyttar till en ny stad nästa år.
orka,orka,orkar,orkade,orkat,have the energy / manage,have the energy|to have the energy|manage|to manage,0,0,Jag orkar inte lyfta den tunga lådan.
beställ,beställa,beställer,beställde,beställt,order,order|to order,0,0,Han beställer mat online istället för att laga det.
hinn,hinna,hinner,hann,hunnit,have time / manage to,have time|to have time|manage to|to manage to,0,0,Jag hinner inte med tåget om jag inte skyndar.
hämta,hämta,hämtar,hämtade,hämtat,fetch / pick up,fetch|to fetch|pick up|to pick up,0,0,Hon hämtar barnen från skolan klockan tre.
led,leda,leder,ledde,lett,lead,lead|to lead,0,0,Hon leder ett stort projekt på arbetet.
tappa,tappa,tappar,tappade,tappat,lose/drop,lose|to lose|drop|to drop,0,0,Han tappar alltid sin mobiltelefon.
spara,spara,sparar,sparade,sparat,save,save|to save,0,0,Hon sparar pengar för att köpa en ny bil.
låna,låna,lånar,lånade,lånat,borrow / lend,borrow|to borrow|lend|to lend,0,0,Han lånar böcker på biblioteket varje vecka.
betyd,betyda,betyder,betydde,betytt,mean,mean|to mean,0,0,Vad betyder det här ordet på svenska?
erkänn,erkänna,erkänner,erkände,erkänt,admit / acknowledge,admit|to admit|acknowledge|to acknowledge,0,0,Han erkänner att han hade gjort ett misstag.
ladda,ladda,laddar,laddade,laddat,charge,charge|to charge,0,0,Hon laddar sin telefon varje kväll.
påverka,påverka,påverkar,påverkade,påverkat,influence,influence|to influence,0,0,Vädret påverkar mitt humör.
förändra,förändra,förändrar,förändrade,förändrat,change / alter,change|to change|alter|to alter,0,0,Resan förändrar mitt perspektiv på livet.
leverera,leverera,levererar,levererade,levererat,deliver,deliver|to deliver,0,0,Företaget levererar paketet inom tre dagar.
publicera,publicera,publicerar,publicerade,publicerat,publish,publish|to publish,0,0,Hon publicerar en ny artikel varje månad.
sök,söka,söker,sökte,sökt,search / apply,search|to search|apply|to apply,0,0,Han söker ett nytt jobb.
undvik,undvika,undviker,undvek,undvikit,avoid,avoid|to avoid,0,0,Hon undviker söta drycker för sin hälsa.
upplev,uppleva,upplever,upplevde,upplevt,experience,experience|to experience,0,0,Vi upplever ett fantastiskt äventyr.
förbered,förbereda,förbereder,förberedde,förberett,prepare,prepare|to prepare,0,0,Hon förbereder middagen redan på morgonen.
kontrollera,kontrollera,kontrollerar,kontrollerade,kontrollerat,check / control,check|to check|control|to control,1,1,Han kontrollerar alltid bilen innan en lång resa.
undersök,undersöka,undersöker,undersökte,undersökt,investigate / examine,investigate|to investigate|examine|to examine,0,0,Läkaren undersöker patienten noggrant.
meddela,meddelar,meddelade,meddelat,to inform,inform|to inform|announce|to announce|notify|to notify,,,,Hon meddelar sina kollegor om ändringen.
ta hand om,ta hand om,tar hand om,tog hand om,tagit hand om,take care of,take care of|to take care of|look after|to look after,0,0,Hon tar hand om sina äldre föräldrar.
räck,räcka,räcker,räckte,räckt,be enough/reach,be enough|to be enough|reach|to reach|suffice|to suffice,0,0,Det räcker med en kopp kaffe för att vakna.
gå åt rätt håll,gå åt rätt håll,går åt rätt håll,gick åt rätt håll,gått åt rätt håll,go in the right direction,go in the right direction|to go in the right direction|be on the right track|to be on the right track,0,0,Projektet går åt rätt håll trots de tidiga problemen.
håll koll,hålla koll,håller koll,höll koll,hållit koll,keep track,keep track|to keep track|keep an eye on|to keep an eye on,0,0,Han håller koll på alla sina utgifter.
byt,byta,byter,bytte,bytt,change/swap,change|to change|swap|to swap|switch|to switch,0,0,Hon byter jobb vartannat år.
låt bekant,låta bekant,låter bekant,lät bekant,låtit bekant,sound familiar,sound familiar|to sound familiar,0,0,Det låter bekant men jag minns inte varifrån.
känn igen,känna igen,känner igen,kände igen,känt igen,recognize,recognize|to recognize|recognise|to recognise,0,0,Jag känner igen den melodin från filmen.
lämna,lämna,lämnar,lämnade,lämnat,leave/hand in,leave|to leave|hand in|to hand in|drop off|to drop off,0,0,Han lämnar huset klockan sju varje morgon.
se ut,se ut,ser ut,såg ut,sett ut,look / appear / seem,look|to look|appear|to appear|seem|to seem,0,0,Hon ser ut att vara trött idag.
upphitta,upphitta,upphittar,upphittade,upphittat,find / discover,find|to find|discover|to discover,0,0,Polisen upphittar den försvunna bilen.
såga,såga,sågar,sågade,sågat,saw,saw|to saw,0,0,Han sågar ner det gamla trädet i trädgården.
snickra,snickra,snickrar,snickrade,snickrat,do carpentry / build,do carpentry|to do carpentry|build|to build,0,0,Han snickrar en bokhylla i garaget.
mät,mäta,mäter,mätte,mätt,measure,measure|to measure,0,0,Hon mäter rummet innan de köper möbler.
landa,landa,landar,landade,landat,land,land|to land,0,0,Planet landar precis i tid.
ropa,ropa,ropar,ropade,ropat,shout / call out,shout|to shout|call out|to call out,0,0,Han ropar på sina barn i parken.
pilla,pilla,pillar,pillade,pillat,pick / fiddle,pick|to pick|fiddle|to fiddle,0,0,Sluta pilla på såret!
bläddra,bläddra,bläddrar,bläddrade,bläddrat,browse / flip through,browse|to browse|flip through|to flip through,0,0,Hon bläddrar igenom tidningen varje morgon.
upptäck,upptäcka,upptäcker,upptäckte,upptäckt,discover,discover|to discover,0,0,Barnen upptäcker en hemlig passage i skogen.
kallna,kallna,kallnar,kallnade,kallnat,go cold / cool down,go cold|to go cold|cool down|to cool down,0,0,Maten kallnar om du inte äter den nu.
skynda,skynda sig,skyndar sig,skyndade sig,skyndat sig,hurry,hurry|to hurry,0,0,Vi måste skynda oss annars missar vi bussen.
trassla,trassla,trasslar,trasslade,trasslat,tangle / get tangled,tangle|to tangle|get tangled|to get tangled,0,0,Hörlurarna trasslar alltid ihop sig i fickan.
komma loss,komma loss,kommer loss,kom loss,kommit loss,come loose / get free,come loose|to come loose|get free|to get free,0,0,Han försöker komma loss från repet.
överraska,överraska,överraskar,överraskade,överraskat,surprise,surprise|to surprise,0,0,Vi vill överraska henne med en fest.
syssla med,syssla med,sysslar med,sysslade med,sysslat med,deal with / be occupied with,deal with|to deal with|be occupied with,0,0,Vad sysslar du med på fritiden?
